Run,Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
1,NotTwice,6.525707413496258e-8,6.496684062991084e-8,6.569113756215681e-8,1.332003171215374e-9,1.0647814068389297e-9,1.6838631704769975e-9
1,Fib,3.8823056273761852e-3,3.845557865556953e-3,3.937360512235942e-3,1.535556448060181e-4,1.0902055286615754e-4,2.1341455911288597e-4
1,RSA,1.3420116954570608e-3,1.3208608855425229e-3,1.3853457799428198e-3,1.1972189006257993e-4,7.867619163685001e-5,2.1137020426634543e-4
1,Queens,4.309262206627049e-3,4.2843617412398225e-3,4.346811400776674e-3,1.0952399618173786e-4,8.175955036919573e-5,1.5658326790423852e-4
1,nNot,8.09506219227195e-9,8.076437459104443e-9,8.118494455806776e-9,7.930069341111394e-11,6.448531704360942e-11,1.0282291841480359e-10
Run,Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
2,NotTwice,7.729419545043579e-8,7.699982606543568e-8,7.764506332437145e-8,1.223768355525401e-9,9.836638039393332e-10,1.6293270522815448e-9
2,Fib,5.346750307983122e-3,5.301669562045928e-3,5.403553708472743e-3,1.6699336480638407e-4,1.2583792502207414e-4,2.4994265626780454e-4
2,RSA,2.2980815275591045e-3,2.2485913023217448e-3,2.367132915235179e-3,2.2456662670795944e-4,1.6253805379637265e-4,4.0000475652444587e-4
2,Queens,6.909208350365097e-3,6.771949224557545e-3,7.0558562883087424e-3,4.877249668124903e-4,4.1989355430080443e-4,6.19907001040282e-4
2,nNot,8.282453895187705e-9,8.226243902290454e-9,8.360170863825193e-9,2.449858214604984e-10,1.9088449004772846e-10,3.1313083161312726e-10
Run,Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
3,NotTwice,7.565480554979595e-8,7.51553639788652e-8,7.638332275857319e-8,2.2876394380413237e-9,1.5500611956598008e-9,3.3806234663576014e-9
3,Fib,5.571047059965511e-3,5.4930646271094015e-3,5.707461781159763e-3,3.539476781424325e-4,2.4015194763212636e-4,5.212476117452972e-4
3,RSA,2.3497043140160937e-3,2.2799456376201323e-3,2.457166865119689e-3,3.24577410807667e-4,2.4405746297423913e-4,5.433758077287252e-4
3,Queens,6.13234583269937e-3,6.069280716266326e-3,6.302197421987182e-3,3.359304092759736e-4,1.8174593461158244e-4,6.410658977372826e-4
3,nNot,8.298715198349211e-9,8.244787424973311e-9,8.396450717976869e-9,2.672767139369418e-10,1.7972542880704624e-10,4.53838911504577e-10
Run,Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
4,NotTwice,8.221334602667288e-8,8.170792653032194e-8,8.268827639084587e-8,1.931612861334695e-9,1.5441974533117319e-9,2.5199420820176412e-9
4,Fib,5.962891099660099e-3,5.91368633390813e-3,6.020517518624596e-3,1.886399329900145e-4,1.5823489558260711e-4,2.3204264161921288e-4
4,RSA,2.292780980361263e-3,2.2688504765905637e-3,2.3407591068864797e-3,1.239935056954177e-4,7.153421412289031e-5,2.0178503514797376e-4
4,Queens,6.731326338394301e-3,6.681491283622773e-3,6.794025970607364e-3,1.8788925249597452e-4,1.3895769008583393e-4,2.7867640906958826e-4
4,nNot,8.816660752187728e-9,8.788283590109109e-9,8.847890944851165e-9,1.1516339739003199e-10,9.872521811734679e-11,1.3821384264199686e-10
Run,Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
5,NotTwice,5.2608129894262533e-8,5.250618158458248e-8,5.273575915783005e-8,4.5296068997202643e-10,3.6631385735867476e-10,6.029005961454718e-10
5,Fib,2.8457556563203537e-3,2.8334739825117104e-3,2.8613634400361863e-3,5.325301339384676e-5,4.407156245024434e-5,6.587008315363802e-5
5,RSA,1.4220014131737956e-7,1.4153813906404904e-7,1.4289973675362375e-7,2.520004758440279e-9,2.164525396071032e-9,3.302307521029451e-9
5,Queens,4.132527925729491e-3,4.111575343960984e-3,4.1603564998388045e-3,8.703693857426438e-5,6.626690665838179e-5,1.2267197036141956e-4
5,nNot,8.945148806125078e-9,8.922718344637579e-9,8.973437763996007e-9,1.0052508707901759e-10,8.52277573816788e-11,1.2530531240466264e-10
Run,Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
6,NotTwice,5.189224607029731e-8,5.180383735077174e-8,5.201468323465444e-8,3.992344671134161e-10,3.0185402761230155e-10,5.743600849877089e-10
6,Fib,3.1467479034456014e-3,3.137663034692092e-3,3.1583017596112594e-3,3.8689860542808475e-5,2.880190687986435e-5,6.285709224699712e-5
6,RSA,1.4325311653152542e-7,1.427732783947149e-7,1.4373841328049586e-7,1.940474796972683e-9,1.6545467387188285e-9,2.2400348682679758e-9
6,Queens,4.568026715813128e-3,4.5547675359891605e-3,4.580223306041928e-3,4.779787807630405e-5,3.703693234744988e-5,6.454526544427711e-5
6,nNot,8.453082610614383e-9,8.429091799760629e-9,8.475179678701869e-9,9.090034902409742e-11,7.671351572635756e-11,1.0690763959573796e-10
Run,Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
7,NotTwice,5.166281267191643e-8,5.155008253581565e-8,5.1771698940269396e-8,4.3419553638163303e-10,3.5634398688712437e-10,5.44389124883962e-10
7,Fib,3.0928551387279257e-3,3.083606237791353e-3,3.1026644094654336e-3,3.4371094412861596e-5,2.8419300164027555e-5,4.4432924785324454e-5
7,RSA,1.3953430221559733e-7,1.389657027229692e-7,1.4037328724372467e-7,2.6567447425531046e-9,1.950152235978353e-9,3.651864274364539e-9
7,Queens,4.328939256486591e-3,4.316453783741621e-3,4.3449678287197846e-3,5.279622256606417e-5,3.952861900388073e-5,8.315469386089854e-5
7,nNot,7.88242941320195e-9,7.801083880437786e-9,8.121639198247966e-9,4.786109341012887e-10,2.1701955385139212e-10,1.0009060599504918e-9
Run,Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
8,NotTwice,5.2068309529714906e-8,5.190000746165126e-8,5.226256666315322e-8,6.789260220793617e-10,5.514840475347683e-10,8.664922800108807e-10
8,Fib,3.1462519157930747e-3,3.1332599698414357e-3,3.164230017649722e-3,5.679858421203572e-5,4.0600948506968976e-5,9.048013329340466e-5
8,RSA,1.4259316158156789e-7,1.421715525138445e-7,1.430425570276889e-7,1.7370353239470917e-9,1.359410856906131e-9,2.2039986749642727e-9
8,Queens,4.52172268155764e-3,4.503306454550313e-3,4.5418988441165995e-3,6.886517135215688e-5,5.5001663068152106e-5,8.660291525292206e-5
8,nNot,8.11104504973655e-9,8.087592928507185e-9,8.132069790559514e-9,8.871491707819014e-11,7.239349119686463e-11,1.1105374304126463e-10
