Run,Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
1,NotTwice,3.2070912318074664e-8,3.188096127468293e-8,3.232908718367525e-8,8.262989900220737e-10,5.972926834695843e-10,1.2465178296877064e-9
1,NotALot,3.229839226707837e-8,3.2140857528259364e-8,3.254931984780784e-8,7.573456398306039e-10,5.599796908590392e-10,1.0402391478114032e-9
1,RSA,2.3509620775444906e-3,2.3121490561888334e-3,2.4367231225403086e-3,2.2504074841670567e-4,1.0647104681470361e-4,4.033200163280043e-4
1,Sort,3.795272016888182e-3,3.767249424661067e-3,3.8274976537723735e-3,1.1162617871938047e-4,8.739271736697257e-5,1.456124052123763e-4
1,Fib,4.0415551958119566e-3,3.979269779001635e-3,4.120199792477422e-3,2.7049397669861723e-4,2.2277901502792936e-4,3.4529440707354496e-4
1,Queens,4.4807046973254e-3,4.438977823896853e-3,4.561889775248178e-3,1.9679158764709405e-4,1.4062713658808516e-4,2.9899707342380166e-4
Run,Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
2,NotTwice,7.863510684368957e-8,7.802813620172293e-8,7.945542800271175e-8,2.85074320079485e-9,2.067464137203176e-9,3.817277619359968e-9
2,NotALot,6.818743761538205e-7,6.762171485648044e-7,6.885931794509582e-7,2.4969010764911746e-8,1.952215320771997e-8,3.192225184000542e-8
2,RSA,3.682063133645856e-3,3.665157301673076e-3,3.701503112695209e-3,6.905165854610175e-5,5.631226029653043e-5,8.893389973918743e-5
2,Sort,5.774564831637472e-3,5.7385134465763234e-3,5.842108006280841e-3,1.6428608938780494e-4,1.1755573553411949e-4,2.3365729903610256e-4
2,Fib,5.376344407937223e-3,5.349094399157184e-3,5.416130932852828e-3,1.0869307029684718e-4,7.978247220781524e-5,1.7464965114689793e-4
2,Queens,6.403150739711627e-3,6.354790972228998e-3,6.481363679463518e-3,2.107499742863597e-4,1.506719051095218e-4,3.2482178701382665e-4
Run,Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
3,NotTwice,5.2160209819790676e-8,5.192239193821254e-8,5.243135473480599e-8,9.754216817605486e-10,7.576309926300777e-10,1.5939401991377308e-9
3,NotALot,4.1756202069263775e-7,4.1622901871313763e-7,4.1910174122469603e-7,5.726277089324055e-9,4.759730832654331e-9,7.2897906294954314e-9
3,RSA,1.3739872301989257e-7,1.3677901199440167e-7,1.3812450316263887e-7,2.507661526346047e-9,2.1484952744478684e-9,2.9564920126042103e-9
3,Sort,4.136863198134372e-3,4.105450630052267e-3,4.176138151844087e-3,1.3298278766694842e-4,1.00502457474121e-4,1.9201089418700176e-4
3,Fib,2.752688752361607e-3,2.72269150191108e-3,2.8266807469565663e-3,1.6503750071856154e-4,8.628896488692066e-5,3.216990064741561e-4
3,Queens,3.8454275514212565e-3,3.8292892182965987e-3,3.8661436784867124e-3,6.808229526914516e-5,5.156572467014077e-5,9.438213001163875e-5
Run,Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
4,NotTwice,5.274650109017925e-8,5.257253361871881e-8,5.294253847451185e-8,6.962196139060489e-10,5.502632598184863e-10,9.034231653324443e-10
4,NotALot,4.0269339898431825e-7,3.991378234260939e-7,4.056449117989935e-7,1.2811036285740804e-8,1.1177621126522833e-8,1.4608699521125621e-8
4,RSA,1.3911724025648402e-7,1.3800397990999306e-7,1.4049805151422859e-7,5.126459270002117e-9,3.724094838137513e-9,6.513728751582991e-9
4,Sort,4.9086151981585155e-3,4.879568000436427e-3,4.949245394933543e-3,1.253730326165483e-4,8.946874868976721e-5,1.9815833722689147e-4
4,Fib,3.1763036280593477e-3,3.152527456913443e-3,3.21257038001697e-3,1.1168121550610278e-4,8.041667915958188e-5,1.6993537022242332e-4
4,Queens,4.501660620115686e-3,4.466109582228568e-3,4.558696660049907e-3,1.590414181145971e-4,1.0440233664764395e-4,2.3779227450365002e-4
Run,Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
5,NotTwice,2.5384817299962835e-8,2.5176422475141347e-8,2.567583725827648e-8,9.369011175494276e-10,7.231222568153685e-10,1.1426328827346238e-9
5,NotALot,2.5222238401218605e-8,2.5119450199292224e-8,2.5351306276360756e-8,4.647558375160506e-10,3.7478899063641964e-10,5.613391773231946e-10
5,RSA,1.8848216745491935e-3,1.8672290933639867e-3,1.915950005631692e-3,9.290379706891842e-5,5.77201868913419e-5,1.7522286277570228e-4
5,Sort,3.2565115517976893e-3,3.240045265559263e-3,3.2752014248373586e-3,6.232856173507851e-5,4.6937433847911604e-5,8.678115272045475e-5
5,Fib,3.297517161862354e-3,3.2790674937975893e-3,3.316334181499926e-3,7.09130454371485e-5,5.6141779579945835e-5,9.186179126156919e-5
5,Queens,3.558546414611714e-3,3.5257375684052267e-3,3.6182819169808056e-3,1.5418719975827773e-4,1.0446926818441592e-4,2.290317719428228e-4
Run,Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
6,NotTwice,4.867556008126431e-8,4.8420892289640374e-8,4.9030430451740936e-8,1.1112342575588565e-9,8.229504795563017e-10,1.7136579880085968e-9
6,NotALot,4.3241081093229424e-7,4.303146998931618e-7,4.344460581689596e-7,7.848934730146492e-9,6.712310648121849e-9,9.388258989837998e-9
6,RSA,1.8901620378520116e-3,1.871732113850359e-3,1.9176961299650624e-3,8.36072947039666e-5,6.576494359270847e-5,1.1148498037467893e-4
6,Sort,3.574076225057123e-3,3.5499895351141534e-3,3.6117380753054487e-3,1.1457632915117697e-4,9.121067219182538e-5,1.5594780079609472e-4
